DateTime,Consumption,Month,Year,Week
2017-02-11,11862.833333333334,2.0,2017.0,6.0
2017-02-12,11003.25,2.0,2017.0,6.0
2017-02-13,11162.833333333334,2.0,2017.0,7.0
2017-02-14,10626.958333333334,2.0,2017.0,7.0
2017-02-15,11020.583333333334,2.0,2017.0,7.0
2017-02-16,11165.5,2.0,2017.0,7.0
2017-02-17,11039.166666666666,2.0,2017.0,7.0
2017-02-18,10342.666666666666,2.0,2017.0,7.0
2017-02-19,10193.666666666666,2.0,2017.0,7.0
2017-02-20,11107.166666666666,2.0,2017.0,8.0
2017-02-21,11296.565217391304,2.0,2017.0,8.0
2017-02-22,11746.583333333334,2.0,2017.0,8.0
2017-02-23,11524.458333333334,2.0,2017.0,8.0
2017-02-24,11715.625,2.0,2017.0,8.0
2017-02-25,11195.166666666666,2.0,2017.0,8.0
2017-02-26,10928.916666666666,2.0,2017.0,8.0
2017-02-27,11669.541666666666,2.0,2017.0,9.0
2017-02-28,11173.375,2.0,2017.0,9.0
2017-03-01,10765.166666666666,3.0,2017.0,9.0
2017-03-02,10860.655172413793,3.0,2017.0,9.0
2017-03-03,10921.129032258064,3.0,2017.0,9.0
2017-03-04,10778.458333333334,3.0,2017.0,9.0
2017-03-05,10694.125,3.0,2017.0,9.0
2017-03-06,11612.833333333334,3.0,2017.0,10.0
2017-03-07,11672.625,3.0,2017.0,10.0
2017-03-08,11393.041666666666,3.0,2017.0,10.0
2017-03-09,11117.333333333334,3.0,2017.0,10.0
2017-03-10,11009.375,3.0,2017.0,10.0
2017-03-11,10265.166666666666,3.0,2017.0,10.0
2017-03-12,9888.5,3.0,2017.0,10.0
2017-03-13,10637.333333333334,3.0,2017.0,11.0
2017-03-14,10746.5,3.0,2017.0,11.0
2017-03-15,10434.260869565218,3.0,2017.0,11.0
2017-03-16,10300.666666666666,3.0,2017.0,11.0
2017-03-17,10641.458333333334,3.0,2017.0,11.0
2017-03-18,9962.208333333334,3.0,2017.0,11.0
2017-03-19,9800.916666666666,3.0,2017.0,11.0
2017-03-20,10481.916666666666,3.0,2017.0,12.0
2017-03-21,10587.5,3.0,2017.0,12.0
2017-03-22,10364.75,3.0,2017.0,12.0
2017-03-23,10216.583333333334,3.0,2017.0,12.0
2017-03-24,10469.666666666666,3.0,2017.0,12.0
2017-03-25,9876.5,3.0,2017.0,12.0
2017-03-26,9286.458333333334,3.0,2017.0,12.0
2017-03-27,9803.875,3.0,2017.0,13.0
2017-03-28,9787.25,3.0,2017.0,13.0
2017-03-29,10196.666666666666,3.0,2017.0,13.0
2017-03-30,10316.208333333334,3.0,2017.0,13.0
2017-03-31,10408.5,3.0,2017.0,13.0
2017-04-01,9729.125,4.0,2017.0,13.0
2017-04-02,9285.78947368421,4.0,2017.0,13.0
2017-04-03,10021.083333333334,4.0,2017.0,14.0
2017-04-04,9848.708333333334,4.0,2017.0,14.0
2017-04-05,9694.083333333334,4.0,2017.0,14.0
2017-04-06,9730.75,4.0,2017.0,14.0
2017-04-07,9948.375,4.0,2017.0,14.0
2017-04-08,9484.0,4.0,2017.0,14.0
2017-04-09,9075.375,4.0,2017.0,14.0
2017-04-10,9627.125,4.0,2017.0,15.0
2017-04-11,9744.083333333334,4.0,2017.0,15.0
2017-04-12,10093.125,4.0,2017.0,15.0
2017-04-13,10283.708333333334,4.0,2017.0,15.0
2017-04-14,9859.565217391304,4.0,2017.0,15.0
2017-04-15,9904.666666666666,4.0,2017.0,15.0
2017-04-16,9544.958333333334,4.0,2017.0,15.0
2017-04-17,9532.791666666666,4.0,2017.0,16.0
2017-04-18,10033.625,4.0,2017.0,16.0
2017-04-19,9829.708333333334,4.0,2017.0,16.0
2017-04-20,9746.75,4.0,2017.0,16.0
2017-04-21,9726.458333333334,4.0,2017.0,16.0
2017-04-22,9177.041666666666,4.0,2017.0,16.0
2017-04-23,8925.791666666666,4.0,2017.0,16.0
2017-04-24,9564.0,4.0,2017.0,17.0
2017-04-25,9619.894736842105,4.0,2017.0,17.0
2017-04-26,9704.125,4.0,2017.0,17.0
2017-04-27,9683.375,4.0,2017.0,17.0
2017-04-28,9709.166666666666,4.0,2017.0,17.0
2017-04-29,9140.833333333334,4.0,2017.0,17.0
2017-04-30,8992.333333333334,4.0,2017.0,17.0
2017-05-01,8580.833333333334,5.0,2017.0,18.0
2017-05-02,9109.5,5.0,2017.0,18.0
2017-05-03,8935.0,5.0,2017.0,18.0
2017-05-04,8888.625,5.0,2017.0,18.0
2017-05-05,8939.541666666666,5.0,2017.0,18.0
