日期,负荷,负荷_interp,负荷_filled,负荷_diff1,负荷_diff2
37660,1667.316,1667.316,1667.316,90.5630000000001,135.25400000000013
37661,1700.753,1700.753,1700.753,33.4369999999999,124.0
37662,1892.045,1892.045,1892.045,191.29200000000014,224.72900000000004
37663,1979.298,1979.298,1979.298,87.25299999999993,278.5450000000001
37664,1972.014,1972.014,1972.014,-7.2840000000001055,79.96899999999982
37665,1964.555,1964.555,1964.555,-7.458999999999833,-14.742999999999938
37666,2002.166,2002.166,2002.166,37.610999999999876,30.152000000000044
37667,1857.926,1857.926,1857.926,-144.24,-106.62900000000013
37668,1810.797,1810.797,1810.797,-47.128999999999905,-191.36899999999991
37669,1950.48,1950.48,1950.48,139.683,92.55400000000009
37670,1900.587,1900.587,1900.587,-49.89300000000003,89.78999999999996
37671,1872.356,1872.356,1872.356,-28.230999999999995,-78.12400000000002
37672,1872.377,1872.377,1872.377,0.020999999999958163,-28.210000000000036
37673,1854.294,1854.294,1854.294,-18.082999999999856,-18.061999999999898
37674,1815.235,1815.235,1815.235,-39.0590000000002,-57.14200000000005
37675,1798.126,1798.126,1798.126,-17.108999999999924,-56.16800000000012
37676,1873.625,1873.625,1873.625,75.49900000000002,58.3900000000001
37677,1894.46,1894.46,1894.46,20.835000000000036,96.33400000000006
37678,1944.89,1944.89,1944.89,50.430000000000064,71.2650000000001
37679,1921.794,1921.794,1921.794,-23.096000000000004,27.33400000000006
37680,1989.778,1989.778,1989.778,67.98399999999992,44.88799999999992
37681,1876.809,1876.809,1876.809,-112.96900000000005,-44.98500000000013
37682,1829.415,1829.415,1829.415,-47.394000000000005,-160.36300000000006
37683,2034.267,2034.267,2034.267,204.8520000000001,157.45800000000008
37684,2069.595,2069.595,2069.595,35.32799999999975,240.17999999999984
37685,2084.972,2084.972,2084.972,15.377000000000407,50.705000000000155
37686,2082.31,2082.31,2082.31,-2.662000000000262,12.715000000000146
37687,2017.866,2017.866,2017.866,-64.44399999999996,-67.10600000000022
37688,1854.913,1854.913,1854.913,-162.95299999999997,-227.39699999999993
37689,1798.416,1798.416,1798.416,-56.49700000000007,-219.45000000000005
37690,1921.862,1921.862,1921.862,123.44600000000014,66.94900000000007
37691,1939.211,1939.211,1939.211,17.348999999999933,140.79500000000007
37692,1951.687,1951.687,1951.687,12.475999999999885,29.824999999999818
37693,1951.639,1951.639,1951.639,-0.04800000000000182,12.427999999999884
37694,2019.191,2019.191,2019.191,67.55200000000013,67.50400000000013
37695,1922.702,1922.702,1922.702,-96.48900000000003,-28.936999999999898
37696,1904.377,1904.377,1904.377,-18.325000000000045,-114.81400000000008
37697,2061.779,2061.779,2061.779,157.40200000000004,139.077
37698,1973.546,1973.546,1973.546,-88.23299999999995,69.1690000000001
37699,1949.91,1949.91,1949.91,-23.635999999999967,-111.86899999999991
37700,1939.917,1939.917,1939.917,-9.993000000000166,-33.62900000000013
37701,1862.989,1862.989,1862.989,-76.92799999999988,-86.92100000000005
37702,1815.852,1815.852,1815.852,-47.136999999999944,-124.06499999999983
37703,1774.631,1774.631,1774.631,-41.221000000000004,-88.35799999999995
37704,1848.762,1848.762,1848.762,74.13099999999986,32.909999999999854
37705,1834.855,1834.855,1834.855,-13.906999999999925,60.22399999999993
37706,1791.775,1791.775,1791.775,-43.07999999999993,-56.98699999999985
37707,1785.664,1785.664,1785.664,-6.111000000000104,-49.19100000000003
37708,1794.091,1794.091,1794.091,8.426999999999907,2.3159999999998035
37709,1742.712,1742.712,1742.712,-51.378999999999905,-42.952
37710,1697.202,1697.202,1697.202,-45.50999999999999,-96.8889999999999
